$METADATA
$Version 1.1
$Project; FerryBox
$Device; 731803
$DateTime; 2021.12.13 00:00:01
$Filename; C:\Working\All_sensors_731803_2021-12-13.txt
$Watertimedelay; 00:01:00
$TrackStart: Unknown
$TrackEnd: Unknown
$FORMATS
$1; DateTime; YYYY.MM.DD hh:mm:ss
$2; Measdata; Float


$DATASETS
Units	Deg	Deg	Nm		Deg		m		ml/l		%		DegC		ml/l		mbar		l/min		l/min		l/min		l/min		l/min		l/min		l/min		bool		bool		pH		DegC		DegC		DegC		S/m		psu		m/s		mbar		mbar		DegC		ppm		uatm		ppm		uatm		uatm		PSU		pH		µg/l		NTU		DegC		µg/l		DegC		µg/l		ppb	
Date Time	Latitude	Longitude	Speed	Quality	Course	Quality	Height	Quality	Optode_O2Concentration	Quality	Optode_AirSaturation	Quality	Optode_Temperature	Quality	O2_Corr	Quality	pressure	Quality	flow_in	Quality	flow_main	Quality	flow_FLNTU	Quality	flow_OSCAR	Quality	flow_pCO2	Quality	flow_IFCB	Quality	flow_EXTERN	Quality	halffull	Quality	full	Quality	pH	Quality	pH_Temp	Quality	SBE38_Temp	Quality	SBE45_Temp	Quality	SBE45_Cond	Quality	SBE45_Salinity	Quality	SBE45_SoundVel	Quality	HydroC_P_NDIR	Quality	HydroC_P_In	Quality	HydroC_T_Sensor	Quality	HydroC_Conc_Estimate	Quality	HydroC_pCO2_Corr	Quality	HydroC_XCO2_Corr	Quality	HydroC_Corr_Zero	Quality	HydroC_pCO2_Comp	Quality	HydroFIA_salinity	Quality	HydroFIA_pH	Quality	WetLabs_Chlorophyll-A	Quality	WetLabs_Turbidity	Quality	nanoFlu_A_Sens_Temp	Quality	nanoFlu_A_blue	Quality	nanoFlu_B_Sens_Temp	Quality	nanoFlu_B_CDOM	Quality	Cycl_Phycoerythrin	Quality
2021.12.12 23:59:00	61.833436	18.286803	8.000000	0	204.623269	0	0.000000	0	8.031064	0	86.870583	0	3.679500	0	7.758950	0	153.125000	0	29.969849	0	5.239857	0	0.719579	0	0.175863	0	2.089924	0	-0.001830	0	41.086266	0	1.000000	0	1.000000	0	7.934049	0	0.000000	0	3.461454	0	3.777000	0	0.552603	0	5.150002	0	1427.339241	0	1012.080000	0	1001.913000	0	450.745500	0	447.001500	0	452.060833	0	49.999900	0	99999.000000	1	0.000000	0	26.000000	0	7.729000	0	0.365555	0	3.699857	0	16.428143	0	3.261375	0	15.437000	0	14.496875	0	8.417500	10
2021.12.13 00:00:00	61.831313	18.284685	8.000000	0	204.781163	0	-0.423823	0	8.030754	0	86.863167	0	3.677583	0	7.759096	0	156.791667	0	29.944361	0	5.236200	0	0.729054	0	0.107379	0	2.121008	0	-0.001996	0	41.140289	0	1.000000	0	1.000000	0	7.934082	0	0.000000	0	3.459525	0	3.774717	0	0.552249	0	5.146848	0	1427.324724	0	1019.643514	0	1001.960270	0	77.173351	0	447.170909	0	153.065676	0	49.998189	0	99999.000000	1	0.000000	0	26.000000	0	7.729000	0	0.366446	0	3.696211	0	16.428143	0	3.180000	0	15.437000	0	14.445875	0	8.587500	0
2021.12.13 00:01:00	61.829176	18.282532	8.000000	0	205.051771	0	-1.000000	0	8.031896	0	86.868750	0	3.674750	0	7.759805	0	152.395833	0	29.960429	0	5.244511	0	0.574300	0	0.149433	0	2.136301	0	-0.001664	0	41.057177	0	1.000000	0	1.000000	0	7.934082	0	0.000000	0	3.458158	0	3.771879	0	0.551966	0	5.144483	0	1427.308759	0	1023.038000	0	1002.269333	0	-81.188833	0	66666.000000	1	26.402000	0	50.002350	0	66666.000000	1	0.000000	0	26.000000	0	7.729000	0	0.368464	0	3.694661	0	16.425929	0	3.188857	0	15.437000	0	14.430250	0	8.500000	0
2021.12.13 00:02:00	61.827046	18.280418	8.000000	0	204.315934	0	-1.000000	0	8.031892	0	86.866000	0	3.673583	0	7.760002	0	154.250000	0	29.918320	0	5.244677	0	0.653755	0	0.196641	0	2.126161	0	-0.001996	0	41.036399	0	1.000000	0	1.000000	0	7.934082	0	0.000000	0	3.455060	0	3.770605	0	0.551864	0	5.143652	0	1427.301879	0	1014.113585	16384	1003.020377	16384	159.109283	16384	99999.000000	1	180.661887	16384	50.003811	16384	191.308163	0	0.000000	0	26.000000	0	7.729000	0	0.357237	0	3.697912	0	16.425929	0	3.233214	0	15.437000	0	14.488179	0	8.306250	0
2021.12.13 00:03:00	61.824917	18.278302	8.000000	0	204.747922	0	-0.343490	0	8.031114	0	86.851750	0	3.671000	0	7.759412	0	154.270833	0	29.933834	0	5.240023	0	0.648103	0	0.130982	0	2.131314	0	-0.001996	0	41.140289	0	1.000000	0	1.000000	0	7.934082	0	0.000000	0	3.452136	0	3.768507	0	0.551852	0	5.143862	0	1427.292569	0	1013.096780	16384	1002.943729	16384	286.848356	16384	66666.000000	1	276.583390	16384	50.002085	16384	273.769831	0	0.000000	0	26.000000	0	7.729000	0	0.360384	0	3.700723	0	16.425929	0	3.287821	0	15.437000	0	14.463464	0	8.487500	0
2021.12.13 00:04:00	61.822797	18.276153	8.000000	0	206.074380	0	0.000000	0	8.035919	0	86.897083	0	3.668167	0	7.763626	0	154.291667	0	29.988133	0	5.251825	0	0.791886	0	0.139460	0	2.137797	0	-0.001996	0	41.036399	0	1.000000	0	1.000000	0	7.934526	0	0.000000	0	3.449814	0	3.765705	0	0.551906	0	5.144855	0	1427.281103	0	1013.086885	16384	1002.922295	16384	318.806377	16384	66666.000000	1	307.659672	16384	50.001328	16384	304.523770	0	0.000000	0	26.000000	0	7.729000	0	0.362970	0	3.699857	0	16.425929	0	3.298679	0	15.437000	0	14.487375	0	8.400000	0
2021.12.13 00:05:00	61.820716	18.273883	8.000000	0	206.705094	0	0.000000	0	8.035714	0	86.888833	0	3.665417	0	7.763458	0	158.895833	0	30.010850	0	5.238527	0	0.697970	0	0.246009	0	2.126327	0	-0.001996	0	41.273268	0	1.000000	0	1.000000	0	7.935181	0	0.000000	0	3.443143	0	3.763622	0	0.552061	0	5.146722	0	1427.273983	0	1013.115763	16384	1002.945085	16384	343.144237	16384	99999.000000	1	332.336610	16384	50.000390	16384	328.956271	0	0.000000	0	26.000000	0	7.729000	0	0.359460	0	3.700465	0	16.425929	0	3.549482	0	15.437000	0	14.507179	0	8.112500	0
2021.12.13 00:06:00	61.818646	18.271609	8.000000	0	207.325203	0	0.000000	0	8.038897	0	86.913167	0	3.661000	0	7.766510	0	154.208333	0	29.946024	0	5.247669	0	0.597405	0	-0.000833	0	2.127491	0	-0.001664	0	41.102889	0	1.000000	0	1.000000	0	7.935303	0	0.000000	0	3.438760	0	3.758772	0	0.552090	0	5.147778	0	1427.253379	0	1013.104000	16384	1002.941167	16384	362.780200	16384	66666.000000	1	352.893000	16384	49.999133	16384	349.302167	0	0.000000	0	26.000000	0	7.729000	0	0.363939	0	3.701589	0	16.430357	0	3.127804	0	15.437000	0	14.435518	0	8.475000	0
2021.12.13 00:07:00	61.816579	18.269317	8.000000	0	207.099730	0	-0.754717	0	8.041632	0	86.929833	0	3.655583	0	7.768769	0	154.437500	0	29.922198	0	5.241020	0	0.765124	0	0.158077	0	2.119346	0	-0.001830	0	41.190156	0	1.000000	0	1.000000	0	7.935303	0	0.000000	0	3.434736	0	3.753814	0	0.552176	0	5.149422	0	1427.232810	0	1013.115738	16384	1002.933115	16384	378.258803	16384	99999.000000	1	369.499672	16384	49.999410	16384	365.737213	0	0.000000	0	26.000000	0	7.729000	0	0.362953	0	3.698763	0	16.430357	0	3.299321	0	15.437000	0	14.408321	0	8.118750	0
